Date,State,Tweet_activity
2020-06-07T00:00Z,Michigan,24
2020-06-14T00:00Z,Michigan,53
2020-06-21T00:00Z,Michigan,83
2020-06-28T00:00Z,Michigan,67
2020-07-05T00:00Z,Michigan,57
2020-07-12T00:00Z,Michigan,62
2020-07-19T00:00Z,Michigan,60
2020-07-26T00:00Z,Michigan,49
2020-08-02T00:00Z,Michigan,51
2020-08-09T00:00Z,Michigan,76
2020-08-16T00:00Z,Michigan,69
2020-08-23T00:00Z,Michigan,69
2020-08-30T00:00Z,Michigan,75
2020-09-06T00:00Z,Michigan,63
2020-09-13T00:00Z,Michigan,37
2020-09-20T00:00Z,Michigan,38
2020-09-27T00:00Z,Michigan,34
2020-10-04T00:00Z,Michigan,20
2020-10-11T00:00Z,Michigan,33
2020-10-18T00:00Z,Michigan,43
2020-10-25T00:00Z,Michigan,33
2020-11-01T00:00Z,Michigan,29
2020-11-08T00:00Z,Michigan,29
2020-11-15T00:00Z,Michigan,38
2020-11-22T00:00Z,Michigan,44
2020-11-29T00:00Z,Michigan,41
2020-12-06T00:00Z,Michigan,26
2020-12-13T00:00Z,Michigan,36
2020-12-20T00:00Z,Michigan,28
2020-12-27T00:00Z,Michigan,28
2021-01-03T00:00Z,Michigan,28
2021-01-10T00:00Z,Michigan,22
2021-01-17T00:00Z,Michigan,35
2021-01-24T00:00Z,Michigan,24
2021-01-31T00:00Z,Michigan,29
2021-02-07T00:00Z,Michigan,21
2021-02-14T00:00Z,Michigan,19
2021-02-21T00:00Z,Michigan,16
2021-02-28T00:00Z,Michigan,18
2021-03-07T00:00Z,Michigan,10
2021-03-14T00:00Z,Michigan,23
2021-03-21T00:00Z,Michigan,29
2021-03-28T00:00Z,Michigan,29
2021-04-04T00:00Z,Michigan,36
2021-04-11T00:00Z,Michigan,25
2021-04-18T00:00Z,Michigan,37
2021-04-25T00:00Z,Michigan,24
2021-05-02T00:00Z,Michigan,20
2021-05-09T00:00Z,Michigan,37
2021-05-16T00:00Z,Michigan,24
2021-05-23T00:00Z,Michigan,16
2021-05-30T00:00Z,Michigan,6
2021-06-06T00:00Z,Michigan,16
2021-06-13T00:00Z,Michigan,5
2021-06-20T00:00Z,Michigan,10
2021-06-27T00:00Z,Michigan,12
2021-07-04T00:00Z,Michigan,15
2021-07-11T00:00Z,Michigan,14
2021-07-18T00:00Z,Michigan,13
2021-07-25T00:00Z,Michigan,9
2021-08-01T00:00Z,Michigan,13
2020-03-22T00:00Z,Pennsylvania,47
2020-03-29T00:00Z,Pennsylvania,130
2020-04-05T00:00Z,Pennsylvania,50
2020-04-12T00:00Z,Pennsylvania,41
2020-04-19T00:00Z,Pennsylvania,26
2020-04-26T00:00Z,Pennsylvania,66
2020-05-03T00:00Z,Pennsylvania,108
2020-05-10T00:00Z,Pennsylvania,103
2020-05-17T00:00Z,Pennsylvania,100
2020-05-24T00:00Z,Pennsylvania,114
2020-05-31T00:00Z,Pennsylvania,101
2020-06-07T00:00Z,Pennsylvania,74
2020-06-14T00:00Z,Pennsylvania,81
2020-06-21T00:00Z,Pennsylvania,120
2020-06-28T00:00Z,Pennsylvania,109
2020-07-05T00:00Z,Pennsylvania,122
2020-07-12T00:00Z,Pennsylvania,97
2020-07-19T00:00Z,Pennsylvania,102
2020-07-26T00:00Z,Pennsylvania,132
2020-08-02T00:00Z,Pennsylvania,109
2020-08-09T00:00Z,Pennsylvania,137
2020-08-16T00:00Z,Pennsylvania,132
2020-08-23T00:00Z,Pennsylvania,129
2020-08-30T00:00Z,Pennsylvania,117
2020-09-06T00:00Z,Pennsylvania,134
2020-09-13T00:00Z,Pennsylvania,77
2020-09-20T00:00Z,Pennsylvania,52
2020-09-27T00:00Z,Pennsylvania,56
2020-10-04T00:00Z,Pennsylvania,44
2020-10-11T00:00Z,Pennsylvania,33
2020-10-18T00:00Z,Pennsylvania,40
2020-10-25T00:00Z,Pennsylvania,44
2020-11-01T00:00Z,Pennsylvania,71
2020-11-08T00:00Z,Pennsylvania,45
2020-11-15T00:00Z,Pennsylvania,56
2020-11-22T00:00Z,Pennsylvania,65
2020-11-29T00:00Z,Pennsylvania,56
2020-12-06T00:00Z,Pennsylvania,57
2020-12-13T00:00Z,Pennsylvania,63
2020-12-20T00:00Z,Pennsylvania,51
2020-12-27T00:00Z,Pennsylvania,61
2021-01-03T00:00Z,Pennsylvania,31
2021-01-10T00:00Z,Pennsylvania,33
2021-01-17T00:00Z,Pennsylvania,48
2021-01-24T00:00Z,Pennsylvania,39
2021-01-31T00:00Z,Pennsylvania,38
